Testname,Product,Search,category,subcategory,gender,product,price,discount,view,addtocart
TC001,Myself Shoe,area,Fashion,Shoes,Men,Myself Shoe,3345,53%,2564,396
TC002,A Laptop,who,Electronics,Laptops,Unisex,A Laptop,1527,51%,4511,351
TC003,Beautiful Laptop,yourself,Electronics,Laptops,Men,Beautiful Laptop,4814,35%,1079,131
TC004,Effect Skincar,point,Beauty,Skincare,Men,Effect Skincar,3327,69%,633,291
TC005,Firm Kitche,throughout,Home,Kitchen,Unisex,Firm Kitche,2939,35%,1519,230
TC006,Act Shirt,affect,Fashion,Shirts,Unisex,Act Shirt,2627,24%,2552,202
TC007,Body Accessorie,actually,Electronics,Accessories,Men,Body Accessorie,4808,69%,3097,301
TC008,Yet Furnitur,technology,Home,Furniture,Men,Yet Furnitur,1765,23%,3520,314
TC009,Together Perfume,term,Beauty,Perfumes,Women,Together Perfume,1743,47%,1991,401
TC010,Over Laptop,organization,Electronics,Laptops,Unisex,Over Laptop,2896,59%,675,91
TC011,Ask Shoe,attention,Fashion,Shoes,Unisex,Ask Shoe,1764,25%,4023,117
TC012,Right Kitche,compare,Home,Kitchen,Women,Right Kitche,932,5%,489,124
TC013,Air Makeu,resource,Beauty,Makeup,Women,Air Makeu,4183,35%,3783,371
TC014,Kid Watche,positive,Fashion,Watches,Women,Kid Watche,1932,19%,150,454
TC015,Discover Kitche,side,Home,Kitchen,Women,Discover Kitche,4007,38%,236,367
TC016,Or Perfume,around,Beauty,Perfumes,Unisex,Or Perfume,4543,47%,2866,196
TC017,Right Perfume,require,Beauty,Perfumes,Women,Right Perfume,3775,52%,2896,229
TC018,Cup Shoe,arrive,Fashion,Shoes,Unisex,Cup Shoe,3205,21%,194,282
TC019,Economic Watche,itself,Fashion,Watches,Women,Economic Watche,872,57%,3813,227
TC020,Agreement Laptop,building,Electronics,Laptops,Unisex,Agreement Laptop,1731,24%,2213,475
TC021,Approach Shoe,structure,Fashion,Shoes,Unisex,Approach Shoe,2505,39%,4581,107
TC022,Natural Skincar,stuff,Beauty,Skincare,Unisex,Natural Skincar,4021,13%,3360,141
TC023,Suddenly Kitche,few,Home,Kitchen,Men,Suddenly Kitche,2141,57%,556,24
TC024,Power Watche,help,Fashion,Watches,Men,Power Watche,1304,37%,3361,348
TC025,Now Shoe,board,Fashion,Shoes,Men,Now Shoe,1198,48%,1355,482
TC026,Drive Perfume,degree,Beauty,Perfumes,Unisex,Drive Perfume,1654,12%,228,124
TC027,Fund Watche,more,Fashion,Watches,Women,Fund Watche,1872,41%,1550,25
TC028,Buy Skincar,research,Beauty,Skincare,Men,Buy Skincar,3688,45%,1098,368
TC029,Themselves Deco,expect,Home,Decor,Women,Themselves Deco,4333,65%,1155,467
TC030,Thought Skincar,everybody,Beauty,Skincare,Unisex,Thought Skincar,2693,60%,3854,163
TC031,Vote Kitche,fly,Home,Kitchen,Men,Vote Kitche,3913,23%,795,383
TC032,Heavy Kitche,child,Home,Kitchen,Women,Heavy Kitche,4270,30%,1294,408
TC033,Husband Shirt,public,Fashion,Shirts,Women,Husband Shirt,1066,63%,4299,155
TC034,Still Makeu,east,Beauty,Makeup,Unisex,Still Makeu,577,31%,1009,257
TC035,Simple Perfume,land,Beauty,Perfumes,Men,Simple Perfume,1849,6%,2826,87
TC036,Nation Kitche,once,Home,Kitchen,Unisex,Nation Kitche,1996,60%,4295,318
TC037,Reach Shirt,check,Fashion,Shirts,Women,Reach Shirt,1222,34%,1275,175
TC038,Father Deco,measure,Home,Decor,Unisex,Father Deco,936,41%,1793,203
TC039,Above Watche,song,Fashion,Watches,Unisex,Above Watche,1171,29%,1949,59
TC040,Leg Skincar,without,Beauty,Skincare,Men,Leg Skincar,4609,8%,450,219
TC041,Last Watche,avoid,Fashion,Watches,Men,Last Watche,1597,5%,4237,396
TC042,What Shoe,east,Fashion,Shoes,Unisex,What Shoe,508,52%,684,242
TC043,Forget Kitche,wide,Home,Kitchen,Women,Forget Kitche,2504,40%,3917,125
TC044,Down Watche,fight,Fashion,Watches,Men,Down Watche,4879,49%,3544,56
TC045,Remember Skincar,lead,Beauty,Skincare,Men,Remember Skincar,4448,57%,2648,365
TC046,Save Mobile,thus,Electronics,Mobiles,Men,Save Mobile,2514,66%,4585,129
TC047,Interview Deco,morning,Home,Decor,Women,Interview Deco,783,6%,2189,26
TC048,Miss Shirt,its,Fashion,Shirts,Women,Miss Shirt,3733,16%,856,301
TC049,Pick Shirt,well,Fashion,Shirts,Women,Pick Shirt,3610,21%,2224,407
TC050,Effort Mobile,doctor,Electronics,Mobiles,Men,Effort Mobile,2234,15%,246,361
